name;gender;birthdate;occupation;hobby;Cpf;age
Emanuel Alves;M;1962-08-12;Tecnólogo em Ciências das plantas medicinais;PINTURA;033.989.526-82;61
Luiza Nascimento;F;1969-12-17;Consultor de moda;ESPORTES;473.836.188-07;54
Sr. Levi Rocha;F;1998-07-27;Promotor de eventos;VIAGEM;981.566.822-62;25
Enrico Barros;M;1956-12-17;Teólogo;MÚSICA;577.710.377-47;67
Nicole Rezende;F;1957-09-26;Windsurfer;LEITURA;198.947.092-06;66
Natália Duarte;F;1987-05-19;Acompanhante;CULINÁRIA;835.334.080-19;37
Emanuella Costela;F;1974-09-11;Lixeiro/Coletor de lixo;JARDINAGEM;956.785.982-52;49
Marcela Silveira;F;1988-02-07;Técnico em arquivo;LEITURA;827.010.151-62;36
Brenda Santos;M;1986-07-03;Engenheiro acústico;VIAGEM;437.462.875-45;37
Leonardo da Conceição;M;1991-08-22;Terapeuta Holístico;PINTURA;547.337.678-97;32
Sr. João Felipe Cardoso;F;1960-10-15;Técnico tributarista;JARDINAGEM;645.162.130-79;63
Srta. Marina Ramos;F;1962-06-25;Bartender;ESPORTES;658.654.461-00;62
Henrique Castro;F;1961-12-21;Ginasta artística;PINTURA;261.269.999-67;62
Luiz Fernando Santos;F;1985-05-22;Comprador;LEITURA;504.583.136-45;39
Gabriel da Cunha;F;1984-06-06;Cobrador de ônibus;LEITURA;656.221.929-94;40
Sr. Murilo Freitas;M;2003-03-06;Montador;ESPORTES;169.654.103-45;21
Daniela Costa;M;1997-08-21;Assessor de imprensa;MÚSICA;533.356.331-48;26
Agatha Costela;F;1972-09-03;Historiador;CULINÁRIA;120.118.699-43;51
Davi Vieira;F;1960-11-04;Mestre cervejeiro;MÚSICA;345.042.638-90;63
Isis Cavalcanti;M;1983-05-06;Repositor;DANÇA;575.244.934-01;41
João Lucas da Costa;M;1993-08-14;Gestor de tecnologia da informação;PINTURA;019.456.363-43;30
Dr. Bernardo Oliveira;F;1975-10-10;Metalúrgico;ESPORTES;091.974.894-50;48
Lavínia Mendes;F;1980-03-10;Escoteiro;JARDINAGEM;934.315.288-48;44
Rafaela Farias;F;2005-07-04;Maestro;LEITURA;503.285.930-36;18
Milena Jesus;F;1970-08-02;Torneiro mecânico;ESPORTES;544.237.662-05;53
Melissa Ferreira;M;1981-08-16;Judoca;ESPORTES;256.199.132-60;42
Sr. Luiz Otávio Sales;F;1953-08-29;Músico;CINEMA;770.322.887-74;70
Isabel Rocha;F;1987-02-15;Xilógrafo;FOTOGRAFIA;956.095.511-02;37
Mariane Santos;M;1980-12-28;Diretor de fotografia;PINTURA;253.938.307-69;43
Rebeca Alves;M;1988-03-02;Operador de telemarketing;FOTOGRAFIA;904.331.034-42;36
Lívia Mendes;F;1986-07-16;Zootecnista;LEITURA;670.249.102-67;37
Anthony Costela;F;1957-10-29;Corretor da bolsa de valores;DANÇA;792.166.161-05;66
Arthur Cardoso;F;1966-03-24;Tecnólogo em geoprocessamento;JARDINAGEM;632.842.436-15;58
Dra. Maitê da Rocha;M;1960-01-02;Baterista;ESPORTES;050.296.765-03;64
Raul Melo;M;1990-11-10;Perfumista;ESPORTES;156.992.512-78;33
Gabriel Moreira;M;1977-05-26;Acompanhante;CULINÁRIA;487.625.256-46;47
Dr. Luiz Gustavo Sales;F;1971-06-13;Médico cirurgião;CINEMA;179.205.540-47;53
Srta. Lavínia Cardoso;M;2001-10-20;Publicitário;CULINÁRIA;107.885.206-52;22
Emanuel Silveira;M;1996-10-17;Engenheiro químico;FOTOGRAFIA;530.114.761-79;27
Luigi Sales;F;1972-10-29;Cirurgião dentista;FOTOGRAFIA;295.379.896-07;51
Sra. Alexia da Rosa;M;1987-04-12;Assistente de produção;ESPORTES;649.593.977-99;37
Srta. Maitê Dias;F;1967-02-14;Datilógrafo;PINTURA;958.069.143-64;57
Milena Jesus;M;1979-11-30;Endocrinologista;LEITURA;863.803.857-70;44
João Moraes;F;2003-02-24;Embalador;JARDINAGEM;433.705.380-83;21
Sr. Daniel Viana;F;1981-02-24;Técnico em higiene dentária;ESPORTES;212.126.403-57;43
Beatriz Mendes;M;1988-03-13;Instalador de painéis;VIAGEM;286.300.883-89;36
Diogo Cavalcanti;F;1997-01-19;Esgrimista;CULINÁRIA;154.890.348-58;27
Alícia Jesus;M;1987-05-23;Bailarina;FOTOGRAFIA;375.345.154-16;37
Maria Clara Moreira;M;1979-03-10;Orçamentista;ESPORTES;390.399.700-50;45
Sophie Dias;F;1968-10-21;Cientista;CULINÁRIA;029.518.282-25;55
Sofia Almeida;F;1983-04-18;Cardiologista;ESPORTES;265.440.722-57;41
Valentina Ramos;F;1990-09-24;Chapeiro;CULINÁRIA;340.599.688-03;33
Maria Sophia Novaes;M;1965-09-01;Consultor de moda;FOTOGRAFIA;136.754.752-04;58
Sr. Nathan Oliveira;F;2002-05-06;Endocrinologista;FOTOGRAFIA;807.422.163-65;22
Antônio Pereira;F;1957-02-23;Cientista;FOTOGRAFIA;928.357.006-50;67
Maria Alice Carvalho;M;1968-10-02;Ginecologista;MÚSICA;337.610.882-05;55
Juliana Gomes;F;1988-10-01;Tecnólogo em rochas ornamentais;PINTURA;249.163.837-10;35
Yago Cardoso;F;1987-05-02;Bibliotecário;CULINÁRIA;961.834.092-94;37
Thiago Cunha;F;1954-04-20;Lavador;FOTOGRAFIA;023.010.572-67;70
Maria Eduarda Viana;M;1992-12-26;Engenheiro de alimentos;JARDINAGEM;280.501.528-20;31
